"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10% Prime Debenture 2088,,4,,827.00,,821.80,,826.00,,75.00,,61915.00,,821.80,,4.20,
,2,,11% NIC Asia Debenture 082/83,,1,,1004.00,,1004.00,,1004.00,,50.00,,50200.00,,1023.90,,-19.90,
,3,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,46,,785.00,,726.00,,759.00,,1506.00,,1143993.20,,766.40,,-7.40,
,4,,Agricultural Development Bank Limited,,236,,325.00,,319.00,,321.00,,24381.00,,7836657.70,,322.00,,-1.00,
,5,,Ankhu Khola Jalvidhyut Company Ltd,,281,,189.00,,178.00,,181.00,,45326.00,,8355730.50,,184.00,,-3.00,
,6,,Api Power Company Ltd.,,710,,227.00,,220.00,,221.00,,153586.00,,34389977.60,,219.50,,1.50,
,7,,Arun Kabeli Power Ltd.,,296,,384.00,,373.00,,374.90,,61034.00,,23061432.50,,378.00,,-3.10,
,8,,Arun Valley Hydropower Development Co. Ltd.,,345,,292.00,,278.00,,279.00,,78850.00,,22567098.40,,283.50,,-4.50,
,9,,Asha Laghubitta Bittiya Sanstha Ltd,,97,,1051.00,,980.00,,993.00,,4609.00,,4588183.10,,1039.00,,-46.00,
,10,,Asian Life Insurance Co. Limited,,145,,486.00,,470.00,,476.00,,19072.00,,9081192.30,,472.00,,4.00,
,11,,Aviyan Laghubitta Bittiya Sanstha Limited,,319,,794.00,,770.10,,774.00,,10064.00,,7900999.60,,783.00,,-9.00,
,12,,Balephi Hydropower Limited,,146,,255.00,,234.40,,244.40,,12437.00,,3036776.70,,239.00,,5.40,
,13,,Barun Hydropower Co. Ltd.,,72,,236.00,,218.60,,218.70,,9089.00,,2066056.90,,223.50,,-4.80,
,14,,Best Finance Company Ltd.,,216,,345.00,,331.00,,335.00,,25419.00,,8635227.10,,331.00,,4.00,
,15,,Bindhyabasini Hydropower Development Company Limited,,178,,370.00,,331.00,,350.00,,10455.00,,3623692.00,,340.00,,10.00,
,16,,Bishal Bazar Company Limited,,11,,3358.10,,3311.00,,3320.00,,140.00,,466028.00,,3426.00,,-106.00,
,17,,Bottlers Nepal (Terai) Limited,,14,,12251.00,,12100.00,,12100.00,,175.00,,2132122.00,,12400.00,,-300.00,
,18,,Buddha Bhumi Nepal Hydropower Company Limited,,43,,374.20,,360.10,,369.00,,2228.00,,814205.50,,374.00,,-5.00,
,19,,Butwal Power Company Limited,,83,,317.00,,308.00,,308.20,,43040.00,,13502365.90,,311.00,,-2.80,
,20,,CEDB Hydropower Development Company Limited,,130,,649.90,,627.10,,635.00,,12983.00,,8269735.00,,630.00,,5.00,
,21,,Central Finance Co. Ltd.,,216,,341.90,,324.50,,325.10,,34778.00,,11627812.10,,335.50,,-10.40,
,22,,Century Debenture 2088,,2,,856.10,,853.10,,856.10,,50.00,,42730.00,,870.00,,-13.90,
,23,,Chandragiri Hills Limited,,43,,1056.00,,1021.00,,1034.00,,2624.00,,2737123.00,,1034.00,,0.00,
